"","FULLID","MODEL","CODE","INST","LIBVER","CALCVAL","CALCERR"
"182","HEU-COMP-THERM-021-041",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00989,4e-04
"183","HEU-COMP-THERM-021-042",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00794,0.00042
"184","HEU-COMP-THERM-021-042",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01051,0.00045
"185","HEU-COMP-THERM-021-043",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.0069,0.00034
"186","HEU-COMP-THERM-021-043",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00899,0.00036
"187","HEU-COMP-THERM-021-044",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01126,0.00044
"188","HEU-COMP-THERM-021-044",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01378,4e-04
"189","HEU-COMP-THERM-021-045",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00997,0.00049
"190","HEU-COMP-THERM-021-045",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01309,0.00045
"191","HEU-COMP-THERM-021-046",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00994,0.00042
"192","HEU-COMP-THERM-021-046",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01369,0.00038
"193","HEU-COMP-THERM-021-047",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01028,0.00043
"194","HEU-COMP-THERM-021-047",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01249,4e-04
"195","HEU-COMP-THERM-021-048",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01017,0.00044
"196","HEU-COMP-THERM-021-048",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01263,0.00048
"197","HEU-COMP-THERM-021-049",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00961,0.00034
"198","HEU-COMP-THERM-021-049",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01241,4e-04
"199","HEU-COMP-THERM-021-050",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00968,0.00043
"200","HEU-COMP-THERM-021-050",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01276,0.00045
